,Attempt ID,Q Title,Bonus?,Difficulty,Answer,Answer Match
91,150,q16 (code writing - if),False,1,"if (num % 2 == 0 && num > 80) {
     System.out.println(""yeah"");
 }
 else if (num % 2 != ) && num >= 50 && num < 80) {
     System.out.println(""sure"");
 }
 else {
      System.out.println(""not sure"");
 }
   ",
92,151,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 /* TODO: write the code in the box below to complete the task as describe   * (NO NEED TO WRITE THE WHOLE main method)   */ if(num%2==0 && num > 80){
     System.out.println(""yeah"");
 }
else if (num%2 !=0 && (num >= 50 && num <80){
     System.out.println(""sure"");
 }
 ",
93,152,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
int num = input.nextInt();
 if(num > 80 && num%2 == 0) System.out.print(""yeah"");
 else if(num >= 50 && num < 80 && num%2 == 1) System.out.print(""sure"");
 else System.out.println(""not sure"");
",
94,153,q16 (code writing - if),False,1,i dont know.,
95,154,q16 (code writing - if),False,1,"if(int.evem >80){
 System.out.println(""yeah"") }
 if else (80<int.odd>50){
 System.out.println(""sure"") }
 else{
 System.out.println(""not sure"") }
 ",
102,161,q16 (code writing - if),False,1,"if: num > 80 and num/2
          print(""yeah"") 
elif: 50 < num < 80
         print(""sure"") 
else:
       print(""not sure"") ",
104,163,q16 (code writing - if),False,1,I don't know.,
106,165,q16 (code writing - if),False,1,"not sure if input >=80:       System.out.println(""Yeah"");
 ",
107,166,q16 (code writing - if),False,1,"public static void main(number){
  if (number >= 80 && [EVEN?]) {
  System.Out.Println(""yeah"");
 }
 else if (number == 50 && < 80 && [ODD]){
  System.Out.println(""Sure"");
 }
else{
 System.Out.println(""Not sure"") }
 }
main(num);
",
109,168,q16 (code writing - if),False,1,"If (num > 80) {
 System.out.println(""yeah"");
 }
 else if (num >= 50) {
 System.out.println(""sure"");
 }
 else {
 System.out.println(""not sure"");
 }
",
113,172,q16 (code writing - if),False,1,    I do not know.,
114,193,q16 (code writing - if),False,1,"if int = even, > 80;
 print ""yeah"";
 else int=odd, 50<int<80;
 print ""sure"";
",
115,194,q16 (code writing - if),False,1,"System.out.println(""Enter an integer"");
 int num = input.nextInt();
 if (num >= 80) {
 ? ? System.out.println(""Yeah"");
 }
 else if (50 > num < 80) {
 ? ? System.out.println(""Sure"");
 }
 else {
 ? ? System.out.println(""not sure"");
 }
",
117,196,q16 (code writing - if),False,1,I do not know,
118,197,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
int num = input.nextInt();
if num % 2 == 0{
? ?if num >= 80? ? ? System.out.print(""yeah"");
else if? ?if num >= 50 and < 80:? ? ? System.out.print(""sure"");
? ?else? ? ? System.out.print(""not sure"");
}
",
120,199,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 =sum(int>80 and even) System.out.println(""Yeah"") =sum(50_>int>80 and odd) System.out.println(""Sure"")",
122,201,q16 (code writing - if),False,1,"System.out.println(""80"") 
int num = input.nextInt( 50 and 80) 
System.out.println(not sure)",
123,202,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"") ;
",
124,203,q16 (code writing - if),False,1,"System.out.println(""Enter an integer: "");
 int num = input.nextInt();
 Scanner userInt = new Scanner();
 sureArr = [50, 80] if(num >= 80) {
 System.out.println(""Yeah"") }
 if(num =< sureArr.isOdd) {
 System.out.println(""sure"") }
 else {
 System.out.println(""not sure)}
",
126,205,q16 (code writing - if),False,1,I don't know,
127,206,q16 (code writing - if),False,1,Unsure,
128,207,q16 (code writing - if),False,1,"if input.nextInt even ? ?if input.nextInt > 80 ? ? ? 
System.out.println(""yeah"");
 if input.nextInt odd ? ?if input.nextInt >= 50 ? ? ? if input.nextInt < 80 ? ?System.out.println(""sure"");
 else ? ?
System.out.println(""not sure"");
",
131,223,q16 (code writing - if),False,1,"if (num % 2 == 0 && num > 80) {
    System.out.println(""yeah"");
 }
 else if (num % 2 == 1 && (num >= 50 && num < 80)) {
    System.out.println(""sure"");
 }
 else {
    System.out.println(""not sure"");
 }
 ",
132,224,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 if (int > 80);
 }
   System.out.println(""yeah"");
   }
else if(int = odd, 50 > int < 80);
 }
     System.out.println(""sure"");
   }
else   System.out.println(""not sure"");
   }
 }
",
137,229,q16 (code writing - if),False,1,i dont know,
143,235,q16 (code writing - if),False,1,i dont know,
145,249,q16 (code writing - if),False,1,String user = Yeah int num =,
149,253,q16 (code writing - if),False,1,i dont know,
151,255,q16 (code writing - if),False,1,i dont know,
152,256,q16 (code writing - if),False,1,"if num > 80 and num/2 ;
 System.out.println(""yeah"");
 else if num =< 50 and num > 80;
 Sytem.out.println(""sure);
",
153,257,q16 (code writing - if),False,1,"System.out.println(""Enter an integer",
155,259,q16 (code writing - if),False,1,"public static void main(String[] args) {
String age = JOptionPane.ShowInputDialog(""How old are you"");
int convertedAge = Intenger.parseint(age);
 if (convertedAge > 80 && convertedAge % 2 == 0){
 System.out.println(""Yeah"");
 }
 else if (convertedAge => 50 && convertedAge < 80) {
 System.out.println(""sure"");
 }
 else{
 System.out.println(""not sure"");
 }
 }
",
158,262,q16 (code writing - if),False,1,"psvm;
   Static ""yeah"" = ("" even += 80 "");
   Static ""sure"" = ("" odd = 50, 80 "");
   Static ""not sure"" = (""error"");
     System.out.println(integer)   }
 }
",
160,264,q16 (code writing - if),False,1,"Public static void main(args[] );
 {
int num = 100if num >= 80;
System.out.println(""yeah"");
if num >= 80;
System.out.println(""yeah"");
}
 ",
161,265,q16 (code writing - if),False,1,"if num > 80 and num/2;
      return (""yeah"") if num >= 50 and < 80     return(""sure"");
 ",
162,266,q16 (code writing - if),False,1,"if(num%2 ==0 && num>80){
 System.out.println(""yea"");
 }
 else if(num%2 != 0){
 if(num >=50 && num<=80){
 System.out.print(sure);
 }
   }
 else{
 System.out.print(""not sure"");
 }
",
163,267,q16 (code writing - if),False,1,I dont know how,
164,268,q16 (code writing - if),False,1,"if(num % 2 == 0 && num > 80){
      System.out.println(""yeah"");
}
else if(num % 2 == 1 %% 50 <= num < 80){
     System.out.println(""sure"");
 }
else{
     System.out.println(""not sure"");
 }
",
167,284,q16 (code writing - if),False,1,"if (num > 80) {
 System.out.println(""yeah"");
  }
  if (50 =< num < 80) {
  System.out.println(""sure"");
  }
  else {
  System.out.println(""not sure"");
  }
}
",
168,285,q16 (code writing - if),False,1,not sure,
169,286,q16 (code writing - if),False,1,"if (num % 2 == 0 num >80){
 System.out.println(""yeah"");
}
 else if (num % 2 == 1 && num >= 50 && num <80){
System.out.println(""Sure"");
}
 else {
System.out.println(""not sure"");
",
173,300,q16 (code writing - if),False,1,"if (num > 80 && num % 2 = 0) {
 ? ? System.out.println(""yeah"");
 }
 else if (num >= 50 && num < 80 && num % 2 != 0) {
 ? ? System.out.println(""sure"");
 }
 else {
 ? ? System.out.println(""not sure"");
 }
",
176,303,q16 (code writing - if),False,1,"System.out.println(""yeah"");
 int num = input.nextInt();
",
178,305,q16 (code writing - if),False,1,I really have no clue,
180,307,q16 (code writing - if),False,1,not sure,
183,310,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
",
184,311,q16 (code writing - if),False,1,I have no clue on where to even start for this question and i am quite embarssed,
187,314,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
int num = input.nextInt(88);
 System.out.println(""Enter an Integer:"");
int num = input.nextInt(53);
 System.out.println(""Enter an Integer:"");
int num = input.nextInt(20);
",
190,317,q16 (code writing - if),False,1,"if (num > 50 && num < 80 && num % 2 == 1){
? ? System.out.println(""sure"");
}
 else if (num > 80 && num % 2 == 0){
? ? System.out.println(""yeah"");
}
 else {
? ? System.out.println(""not sure"");
}
",
196,340,q16 (code writing - if),False,1,Int yeah = >=80 Int sure = 50 <>80  ,
197,341,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 system.out.print(""yeah"");
 system.out.print(""sure"");
",
202,346,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
   if ( num < 80 ){
            System.out.println ( ""yeah"");
 }
   if (num > 50 || num < 80){
          System.out.println(""sure"");
 }
   if else {
         System.out.print(""not sure"");
 }
   ",
204,348,q16 (code writing - if),False,1,"jjj,j,",
207,351,q16 (code writing - if),False,1,i am so lost and confused,
209,353,q16 (code writing - if),False,1,"System.out.println(""Enter an integer: "");
 int num = intput.nextInt();
 if num >= 80 {
         System.out.println(""yeah"");
 else   num <= 50           rsystem.out.println(""sure"");
 ",
210,354,q16 (code writing - if),False,1,"import java.util.Scanner;
   Scanner scan = new Scanner(system.in);
 int userinput = scan.nextInt();
 if(userinput >= 80){
 if (userinput % ==0 ){
 System.out.println("" yeah"")}
 else if (userinput > 50 && userinput < 80 && userinput % 2 ){
   system.out.println("" sure"") }
else{
(system.out.println(""not sure"");
 }
",
211,355,q16 (code writing - if),False,1,"if(num>80 && num%2=0){
 System.out.print(""Yeah"") }
else if(num>=50 && num<80 && num%2=1){
 System.out.print(""Sure"") }
else{
 System.out.print(""not sure"")",
212,356,q16 (code writing - if),False,1,"if (num % 2 == 0 && num > 80) {
 System.out.println(""yeah"");
 }
 else if (num % 2 != 0 && num >= 50 && num < 80) {
 System.out.println(""sure"");
 }
 else {
 System.out.println(""not sure"");
",
213,357,q16 (code writing - if),False,1,"import java.util.Scanner;
 public class Testing {
 public static void main(String[] args) {
 Scanner input = new Scanner();
 System.out.print(""Enter an integer:"");
 int num = input.nextInt();
 if(num%2 == 0 && num>80) {
 System.out.print(""Yeah."");
 }
 else   if(num%2 != 0 && num>=50 && num<80) {
 System.out.print(""Sure."");
 }
 else {
 System.out.println(""Not sure."");
 }
 }
 }
 ",
214,358,q16 (code writing - if),False,1,"if ( num%2==0 && num>80){
   else if (num %2 !=0 && num>=50 && num <80) {
   System.out.println(""yeah"") ;
   else   System.out.println( "" not sure"");
",
215,359,q16 (code writing - if),False,1,"if (num % 2 = 0 && num > 80) {
 System.out.println(""yeah"");
 }
 else if ( num % 2 != 0 && num >= 50 && num < 80) {
 System.out.println(""sure"");
 }
 else {
 System.out.println(""not sure"");
 }
  ",
216,360,q16 (code writing - if),False,1,"Scanner input = new Scanner int num = input.nextInt();
 if ((num % 2 == 0) && (num > 80))         System.out.println(""yeah"");
 else if ((!(num % 2 == 0)) && (num >= 50) && (num < 80))         System.out.println(""sure"");
 else         System.out.println(""not sure"");
 // I probably used more parenthesis than I needed but if it works it works  ",
217,361,q16 (code writing - if),False,1,"if(num % 2 == 0 && num > 80)  
          System.out.println(""yeah"") 
else if (num % 2 != 0 && num >= 50 && num <= 80) 
        System.out.println(""sure"") 
else       System.out.println(""not sure"") ",
218,362,q16 (code writing - if),False,1,"if (num%2==0 && num>=80){
    System.out.println(""Yeah"");
 }
 else if (num%2 != 0 && 50<=num<80) {
    System.out.println(""sure"");
 }
 else {
    System.out.println(""not sure"");
 }
",
219,363,q16 (code writing - if),False,1,"if(num%2==0 && num >80){
 System.out.println(""yeah"");
}
 else if(!num%2==0 && num>50 && num<80){
 System.out.println(""sure"");
}
 else{
 System.out.print(""not sure"");
}
",
220,364,q16 (code writing - if),False,1,"if (num > 80 && num%2==0) {
       System.out.println(""yeah"");
 }
 else if (num>=50 && num<80 && num%2=!0) {
      System.out.println(""sure"");
 }
 else      System.out.println(""not sure"");
",
222,366,q16 (code writing - if),False,1,"if (num >= 80) {
      sout(""yeah"") }
 elif (num)",
226,370,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 if (",
228,372,q16 (code writing - if),False,1,"Scanner s = new Scanner(System.in);
 System.println(""enter integer: "");
 int input = s.nextInt();
 if (input % 2 == 0 && input > 80) {
 System.out.println(""yeah"");
 }
 else if (input % 2 != 0 && input >= 50 && input < 80) {
 Sytem.out.println(""sure"");
 }
 else {
 System.out.println(""not sure"");
}
",
229,373,q16 (code writing - if),False,1,"if(num / 2 ==   0 && num > 80){
 System.out.println(""yeah"");
 }
 if (num / 2 == 1 && num >= 50 && num < 80){
 System.out.println(""sure"");
 }
 else   System.out.println(""not sure"");
",
230,374,q16 (code writing - if),False,1,"import java.util.Scanner 
Scanner scan = new Scanner (System.in) 
System.out.println(""Enter a number 50-100"") 
int numb = scan.nextint if(numb>=80){
 System.out.println(""yeah"") }
 if(numb>50 && numb<80){
 System.out.println(""sure"") else System.out.println(""not sure"")    ",
231,375,q16 (code writing - if),False,1,"if (num>80 && num%2 == 0){
 System.out.print(""yeah"");
 }
 else if (num>=50 && num<80 && num%2 != 0){
 System.out.print(""sure"");
 }
 else System.out.print(""not sure"");
",
232,376,q16 (code writing - if),False,1,"if (num % 2 == 0 && num > 80) {
 System.out.println("" yeah "");
 }
 if (num % 2 != 0 && num>= 50 && num <80) {
 System.out.println( "" sure "");
 }
 else {
 System.out.println("" not sure "");
 }
",
234,378,q16 (code writing - if),False,1,not sure,
235,379,q16 (code writing - if),False,1,"System.out.print.ln(""Enter an Integer:"");
 int num = input.nextInt();
 /*TODO",
236,380,q16 (code writing - if),False,1,"if num > 80 {
  System.out.println(""yeah"");
 }
 else if num%2 = 0 and num >= 50 and num < 80{
  System.out.println(""sure"");
 }
 else{
  System.out.println(""not sure"");
 }
",
237,381,q16 (code writing - if),False,1,"System.out.print(80) System.out.print(50) if a>80 (print(""yeah""))",
239,383,q16 (code writing - if),False,1,"System.out.printLn(""yeah above80"");
",
242,386,q16 (code writing - if),False,1,"println ((""yeah"" > 80));
",
243,387,q16 (code writing - if),False,1,john clark,
244,388,q16 (code writing - if),False,1,"System.out.println("" sure"");
 int num = input.nextInt(63);
",
246,390,q16 (code writing - if),False,1,"if {
num =>80, print (""sure"");
 else{
num =<50;
 print (""not sure"") }
 }
",
249,393,q16 (code writing - if),False,1,"int num = input.nextInt(23+2);
",
256,400,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.next.in();
 if(user>=80){
 System.out.println(""yeah"");
 else if(user||50&&80){
 System.out.println(""sure"") else{
 System.out.println(""not sure"") }
 ",
257,401,q16 (code writing - if),False,1,"if((num%2==0)&&(num>80)){
  System.out.println(""yeah"");
 }
 else if((num%2!=0)&&((num>=50)&&(num<80))){
  System.out.println(""sure"");
 }
 else  System.out.println(""not sure"");
",
258,402,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 double string even = num/%2 if(num>80 && even);
 System.out.print(""Yeah"") if(num<80 && num>50);
 System.out.print(""Sure"")  else System.out.print(""not sure"") /* TODO: write the code in the box below to comple",
259,403,q16 (code writing - if),False,1,"ystem.out.println(""Enter an integer:"");
 int num = input.nextInt();
 /* TODO: write the code in the box below to complete the task as describe   * (NO NEED TO WRITE THE WHOLE main method)   */",
261,405,q16 (code writing - if),False,1,"if ( num > 80) System.out.println(""yeah"");
 else if(num >= 50 && num < 80) System.out.println(""sure"");
 else System.out.println(""not sure"");
",
263,407,q16 (code writing - if),False,1,"public static void main (String[]args) {
 if( even && >80) {
System.out.println(""Yeah"");
 }
else if( odd && int <=50 && >=80){
System.out.println(""sure"");
 }
 else {
System.out.println(""not sure"");
 }
}
",
266,410,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 if(i >= 80){
 System.out.println(""yeah"");
 else if(",
267,411,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 if (num>80){
 System.out.print(""yeah"");
 }
 else(num>=50||num<80){
 System.out.print(""not sure"");
 }
",
269,413,q16 (code writing - if),False,1,"Sytem.out.println(""Enter an integer: "");
 int num = input.nextInt();
 if(num /= 1 && num >80){
 Sytem.out.println(""yeah"");
 }
 else if (!(num /= 1) && num >=50 && num < 80){
 Sytem.out.println(""sure"");
 }
 else {
 Sytem.out.println("" not sure"");
 }
",
271,415,q16 (code writing - if),False,1,"System.out.println(""Enter an integer: "");
 int num = input.nextInt();
 if(num >= 80){
 }
System.out.println(""yeah"");
 if((num >= 49 && num>=79)) System.out.println(""sure"");
 else System.out.println(""not sure"");
",
275,419,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
",
276,420,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
int num = input.nextInt();
 for( num = 0;
  num >=80;
 num++);
 if num = 80 return ""yeah"" }
else{
 if num >= 50 if num >= 80 return ""not sure"" ",
277,421,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"")",
281,425,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 ",
283,427,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 if int <= 80 Then System.out.println(""yeah"");
 else int num += 50 - 80  Then system.out.println(""sure"");
 else System.out.println(""not sure"");
 ",
284,428,q16 (code writing - if),False,1,"System.out.println(""80:"");
 int num = input.nextInt();
 /* TODO: write the code in the box below to complete the task as describe   * (NO NEED TO WRITE THE WHOLE main method)   */",
285,429,q16 (code writing - if),False,1,"if ( num 80 ) System.out.println ( ""sure"" );
 }
 else {
 System.out.println ( ""not sure"" );
 }
 ",
286,430,q16 (code writing - if),False,1,I don't know,
287,431,q16 (code writing - if),False,1,"int num= input.nextInt(80): system.out.println(""yeah"");
 int num= input.nextInt(50): system.out.println(""sure"");
 int num= input.nextInt(): system.out.println(""not sure"");
 ",
288,432,q16 (code writing - if),False,1,"System.out.println(""a is even and a > 80:"");
 int num = input.nextInt(""yeah"");
 System.out.println(""b is odd and 50≤b<80:"");
 int num = input.nextInt(""sure"");
 System.out.println(Otherwise ""not sure"");
",
289,433,q16 (code writing - if),False,1,if int >= 80,
290,434,q16 (code writing - if),False,1,"if ( x%2==0 && x<80): {
 system.out.println(""yeah"");
 else if ( x%2==1 && x>=50 && x<80): {
system.out.println(""sure"");
 esle: system.out.println(""not sure"");
",
291,435,q16 (code writing - if),False,1,"if(num%2==0&&num>=80){
 System.out.println(""yeah"");
 }
 else if (num%2==1&&num>=50%%num<80) {
 System.out.println(""sure"");
 }
 System.out.println(""not sure"");
 }
",
292,436,q16 (code writing - if),False,1,"if (int < 50 && <80) (System.outprintln(""Sure))'   ",
293,437,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
   if {
num % 2 <= 80}
 {
 system.out.println(""yeah"") }
 }
else if{
 num % 20>= 50 && num % 20 <=80}
 {
 system.out.println(""sure"") }
 }
else{
 system.out.println(""not sure"")}
",
294,438,q16 (code writing - if),False,1,"if (num > 80 && num % 2 == 0) {
       System.out.println(""yeah"");
 }
 else if (num >= 50 && num < 80 && num % 2 != 0) {
       System.out.println(""sure"") }
 else {
      System.out.println(""not sure"");
 }
",
299,443,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
int num = input.nextInt();
  {
 if (num % 2 == 0 && num > 80)  {
System.out,println(""yeah"");
}
 else if (num % 2 == 1 && num < 80 && num ≥ 50)  {
System.out.println(""sure"");
}
 else  [System.out.println("" not sure"");
}
 }
",
300,444,q16 (code writing - if),False,1,"if(num >= 80 ){
 System.out.println(""yeah"");
 }
 else ( num <= 80){
 System.out.println(""not sure"");
 }
 ",
